Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced Cost Estimate,US East (Ohio),,Amazon Aurora MySQL-Compatible,0,1794.8899999999999,21538.68,USD,"Change records per statement (0.38), Nodes (2), Instance Type (db.r5.xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (10 TB), Additional backup storage (10 TB)"
Reduced Cost Estimate,US East (Ohio),,Application Load Balancer,0,119.35,1432.20,USD,Number of Application Load Balancers (3)
Reduced Cost Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,33.3,399.60,USD,Number of NAT Gateways (1)
Reduced Cost Estimate,US East (Ohio),,Amazon CloudFront,0,920.4,11044.80,USD,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (50000000 per month)"
Reduced Cost Estimate,US East (Ohio),,Amazon EC2,0,1461.28,17535.36,USD,"Operating system (Linux), Quantity (16), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
Reduced Cost Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,563.11,6757.32,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Internet (5 TB per month), DT Intra-Region: (5 TB per month), Data transfer cost (563.11)"
Reduced Cost Estimate,US East (Ohio),,S3 Standard,0,244.52,2934.24,USD,S3 Standard storage (10 TB per month)
Reduced Cost Estimate,US East (Ohio),,Data Transfer,0,921.51,11058.12,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (10 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

See readme.md for rationale
